,FA,FS,NT,SR,SS,TA,TS,CN,total
hsa-mir-6133,55.0,0.0,27.0,0.0,10.0,2.0,0.0,6.0,100.0
hsa-mir-4700-5p,55.0,3.0,0.0,0.0,3.0,3.0,31.0,5.0,100.0
hsa-mir-3140-3p,4.0,0.0,59.0,0.0,33.0,0.0,0.0,4.0,100.0
hsa-mir-7156-5p,3.0,0.0,19.0,0.0,4.0,1.0,0.0,73.0,100.0
hsa-mir-642a-3p,0.0,50.0,1.0,1.0,30.0,3.0,0.0,15.0,100.0
hsa-mir-3913-3p,26.0,6.0,56.0,0.0,0.0,6.0,0.0,6.0,100.0
hsa-mir-1269b,20.0,67.0,1.0,0.0,0.0,0.0,7.0,5.0,100.0
hsa-mir-4524b-5p,6.0,26.0,3.0,6.0,53.0,0.0,0.0,6.0,100.0
hsa-mir-219b-3p,0.0,0.0,0.0,4.0,18.0,4.0,4.0,70.0,100.0
hsa-mir-3960,36.0,54.0,0.0,0.0,4.0,2.0,0.0,4.0,100.0
hsa-mir-6512-3p,0.0,0.0,4.0,32.0,57.0,0.0,4.0,3.0,100.0
hsa-mir-5689,1.0,47.0,3.0,3.0,3.0,27.0,16.0,0.0,100.0
hsa-mir-6716-5p,0.0,8.0,2.0,0.0,6.0,26.0,6.0,52.0,100.0
hsa-mir-10a-5p,28.0,6.0,6.0,0.0,52.0,0.0,6.0,2.0,100.0
hsa-mir-5192,1.0,3.0,6.0,0.0,27.0,47.0,3.0,13.0,100.0
hsa-mir-892b,12.0,4.0,0.0,0.0,12.0,12.0,12.0,48.0,100.0
hsa-mir-20a-3p,0.0,15.0,0.0,5.0,0.0,0.0,65.0,15.0,100.0
hsa-mir-4637,54.0,0.0,0.0,29.0,0.0,14.0,0.0,3.0,100.0
hsa-mir-6846-5p,23.0,23.0,0.0,23.0,8.0,0.0,0.0,23.0,100.0
hsa-mir-30e-5p,47.0,2.0,30.0,15.0,3.0,3.0,0.0,0.0,100.0
hsa-mir-4497,0.0,53.0,29.0,6.0,0.0,6.0,4.0,2.0,100.0
